LON,LAT,SITE NAME_OPERATOR,ReefName,GBRMPA_ID,SummerMax_MMM,
145.823094,-15.98245235,Quicksilver Agincourt Reef 3 Pontoon Site Boundary,Agincourt No3,15-099A,28.7,
145.663873,-14.663861,Mike Ball Cod Hole,Ribbon Reef 10,14-146,28.58,
145.6464228,-16.04337283,Ocean Safari Mackay Reef Turtles Site  Boundary,Mackay ,16-015,28.81,
145.8902274,-16.2236403,Wavelength Opal Reef Rayban Site Boundary,Opal,16-025,28.71,
145.5619273,-16.38301373,SailAway Low Isles Site Boundary,Low Isles,16-028A,28.87,
145.9830654,-16.46258494,Down Under Dive Saxon Reef *no name* Site Boundary,Saxon,16-032,28.69,
146.003063,-16.52193523,Passions 1770 Site Boundary,Hastings,16-057,28.71,
145.9930826,-16.65131839,Reef Runner Vlassof Reef Site Boundary,Vlassof ,16-044B,28.73,
145.9479228,-16.67283172,Ocean Free Upolu Reef Wonderall + Jaws Site Boundary *combined*,Upolu,16-046,28.76,
146.1791126,-16.81152773,Rum Runner Thetford Reef The Lagoon Site Boundary,Thetford,16-068,28.67,
146.2275194,-16.84610642,Experience Co Moore Reef Marine World *combined* Site Boundary,Moore,16-071,28.68,
146.1928678,-16.88854396,Sunlover Moore Reef Pontoon *combined* Site Boundary,Moore,16-071,28.68,
145.9896559,-16.92676314,Fitzroy Island Resort White Rock Site Boundary,Fitzroy Island,16-054C,28.76,
146.1502845,-17.99739533,GBR Safaris Camool Bay *No Reef* Site Boundary,Bedarra Island,18-001,28.96,
147.0681159,-18.6130048,Adrenalin John Brewer Reef Site Boundary,JohnBrewer,18-075,28.49,
147.5219687,-18.79661683,Kalinda Wheeler Reef *no name* Site Boundary,Wheeler,18-095,28.41,
149.1830503,-19.74622719,Cruise Whitsundays Hardy Reef Pontoon Site Boundary,Hardy,19-135,28.16,
149.0679004,-19.81086874,Kiana Bait Reef - Site Extent Boundary,Bait,19-137,28.18,
148.9213976,-20.06940841,Ocean Rafting Hook Island Butterfly Bay Site Boundary,Hook Island,20-028G,28.19,
148.8946542,-20.08311753,Summertime Black Island Wonderwall Site Boundary,Black Island,20-017,28.21,
148.9028608,-20.08347613,RedCat Hook Island Cockatoo Point #2 Site Boundary,Hook Island,20-028F,28.19,
148.8135519,-20.25168999,Daydream Island Lovers Cove Site Boundary,DaydreamIsland,20-035A,28.21,
149.0732375,-20.28275588,ZigZag Haselwood Island Chalkies Beach Site Boundary,Haselwood Island,20-078B,28.12,
150.937468,-23.19563165,Keppel Dive Great Keppel Monkey Beach Site Boundary,Great Keppel Island,23-012E,27.56,
151.9822184,-23.43755484,DiveSpearSport 1770 Heron Reef Fabios Fun Palace Site Boundary,Heron Island,23-052A,27.12,
152.7102013,-24.11171727,Lady Elliot Island Second Reef Site Boundary,Lady Elliot Island,24-008,27.11,
